imageCaption,imageLink
IODD 2019 - Donor Felicitation,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/82/t_18_18.JPG
Indian Organ Donation Day - 2019,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/83/t_20_20.JPG
India International Trade Fair 2019,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/81/t_15_15.JPG
Ride for Life - Awareness Ride on Organ Donation,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/80/t_20_20.jpeg
CAST 2019 - Part 4,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/79/t_17_17.jpeg
CAST 2019 - Part 2,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/76/t_5_5.JPG
CAST 2019 - Part 1,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/75/t_20_20.JPG
CAST 2019 - Part 3,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/78/t_20_20.JPG
TC Training Course 2019 - Day 5,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/73/t_20_20.JPG
TC Training Course 2019 - Day 4,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/72/t_20_20.JPG
TC Training Course 2019 - Day 3,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/71/t_20_20.JPG
TC Training Course 2019 - Day 2,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/70/t_21_20.JPG
TC Training Course 2019 - Day 1,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/69/t_37_20.JPG
Organ Care Systems & Transportation at FMRI Gurugram,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/68/t_2_Group_PIc.jpeg
Surajkund Fair - 2019,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/61/t_8_8.jpeg
Scientific session at NIOP Auditorium dated 28th November 2018,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/65/t_22_22.JPG
"9th Indian Organ Donation Day, 2018, Part - II",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/67/t_14_29.JPG
"9th Indian Organ Donation Day, 2018, Part - I",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/66/t_15_15.JPG
Press Conference at DGHS Chamber,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/63/t_3_DSC_0030.JPG
Organothon 2018,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/62/t_11_11.JPG
Dir. NOTTO@the 1st International Transplant Congress held between...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/58/t_5_IMG_1097.JPG
Transplant Coordinator Training Program from 25th-29th September...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/59/t_3_im01.jpg
33rd Eye Donation Fortnight Program,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/51/t_1_Img01.jpeg
Awareness session for Nurses on Organ Donation at LHMC on 14th...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/54/t_2_img02.jpeg
"Awareness programme at UCMS, Delhi on 11'th August 2018",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/52/t_2_img03.jpeg
"Awareness session for Students, Parents & Teachers at DPS,...",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/55/t_2_img02.jpg
Organized Poster Making Competition 2018 in collaboration with Nehru...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/53/t_6_DSC_0661.JPG
"2 days cultural event ""Gift Life""@SRCC, Delhi University...",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/56/t_9_DSC_0500.JPG
4th National Organ Retrieval Program at Bangalore (4th and 5th May...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/48/t_9_IMG_2253.JPG
5'th BATCH TRANSPLANT COORDINATORS TRAINING PROGRAMME 2018,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/47/t_5_05.JPG
"""Festival of Innovation and Entrepreneurship"" at President...",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/46/t_11_11.jpeg
8th Indian Organ Donation Day (27'th November 2017),https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/45/t_13_F60A7563.JPG
Transplant Coordinator Training From 17 July 2017-21 July 2017 at...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/41/t_11_Pic_10.JPG
Nirvana 2017 held at VMMC & Safdarjung Hospital from 11-13 April...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/39/t_11_DSC_0177.JPG
"Global Exhibition on Services 17-20 April 2017, Greater Noida, India",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/38/t_9_IMG-20170422-WA0002.jpg
Transplant Coordinators Training Programme at Fortis,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/37/t_6_IMG_20170415_150251.jpg
Dialogue with organs,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/36/t_1_20170419_134734.jpg
Transplant Coordinators' Training Programme From 27th - 31st March...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/34/t_8_27032017__1_.JPG
National Organ Retrieval Workshop,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/33/t_16_23032017__2_.JPG
conference on Asian Perspectives in Organ Donation and...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/35/t_2_16032017__2_.jpg
Training Programme for Transplant co-radinators at Bhubaneswar,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/32/t_7_05.03.2017__6_.jpg
TC Training at Bhuvneshwar,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/31/t_6_5032017__5_.jpg
nteractive Workshop of experts on DBD/DCD Certification,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/30/t_6_20.02.2017__6_.jpg
"Army Institute of Engineering, Delhi",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/25/t_5_25.01.2017_-_5.jpg
Transplant Coordinator Training Programme Pune,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/29/t_8_8._Group_photo.JPG
"Donate Life, Surat",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/28/t_4_07.01.2017__4_.jpg
"Dr. Reddyâ€™s Foundation for Health Education (DRFHE), Hyderabad",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/26/t_6_Celebration_of_Giving_Assembly_-_Glimpses__6_.jpg
Walk for legacy of life at Vijayawada,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/24/t_11_Walk_for_-_Leave_a_Legacy_of_Life_-_Symposium_18.12.2016_a.JPG
7th Indian Organ Donation Day Celebration,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/21/t_28_30.11.20167IODD__27_.JPG
Walkthon,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/19/t_5_27.112016walkathon__6_.jpg
Pledge ceremony on 27.11.2016,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/20/t_11_27.11.2016PledgeCeremony__7_.jpg
Sensitization Programme organized by Gandarpan,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/27/t_4_26.11.2016__4_.jpg
Airtel Delhi Half Marathon 2016,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/17/t_8_20.11.2016__8_.jpg
Press conference by NOTTO,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/18/t_7_18.112016__8_.jpg
Promotional Event at India Gate,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/15/t_9_1711201609.jpg
"10K Challenge Marathon, organized by Athletic Federation, to promote...",https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/16/t_7_0611201613.jpg
Organ Donation Day Celebration by CRPF,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/13/t_6_sonipat06.jpg
Discussion Regarding Organ Donation with Hon'ble HFM,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/14/t_8_KK9.jpg
Director NOTTO's talk on All India Radio,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/23/t_5_22.08__4_.jpg
Organ Donation Day celebrated by BSF,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/12/t_11_13082016-11.jpg
Director NOTTO's Talk on Apna Radio 96.9 FM,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/11/t_5_ap4.jpg
JIPMER,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/22/t_7_15.07.2016_-_7.JPG
Awareness session at AFGIS Subrato Park New Delhi,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/10/t_4_IMG_20160107_115733.jpg
6th Indian Organ Donation Day,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/9/t_21_27112015_20.JPG
Spain Delegates Visit To NOTTO,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/8/t_7_07.jpg
Transplant Coordinators Traning,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/6/t_12_DSC_0398.JPG
Slogan Cum Poster Competition,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/5/t_18_DSC_0343_copy.jpg
National Advocacy Conference,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/7/t_10_11.jpg
Hon'ble Health and Family Welfare Minister's visit to Notto Centre on...,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/4/t_12_l2014090156238.jpg
General,https://www.notto.gov.in/WriteReadData/Portal/Photo_Gallery/2/t_6_3.jpg
